 -0.885000000000000     
  7.130938-156  6.988014-156  6.824602-156  6.665097-156  6.539314-156  6.402885-156  6.261445-156  6.113431-156
  6.030877-156  5.905517-156  5.778141-156  5.659118-156  5.576723-156  5.461390-156  5.359593-156  5.248131-156
 -0.825000000000000     
  1.846375-149  7.112406-154  1.744787-153  3.588022-153  7.060560-153  1.115369-152  1.465511-152  1.892214-152
  2.492702-152  3.791209-152  3.910384-152  4.598633-152  5.650631-152  6.733386-152  7.838608-152  7.985485-152
  1.028754-151  1.138723-151  1.247926-151  1.282165-151  1.482135-151  1.700751-151  1.706184-151  1.901339-151
  1.999799-151  2.258864-151  2.426838-151  2.512721-151  2.693066-151  2.876647-151  2.944430-151  3.181238-151
  3.271713-151  3.552333-151  3.702717-151  3.801959-151  4.103509-151  4.180210-151  4.386838-151  4.442403-151
  4.770250-151  4.932550-151  4.981929-151  5.228310-151  5.350265-151  5.615158-151  5.634824-151  5.836824-151
  6.049054-151  6.233881-151  6.365659-151  6.477611-151  6.688181-151  6.833186-151  6.936972-151  7.075700-151
  7.228888-151  7.416676-151  7.405132-151  7.579256-151  7.841620-151  7.851883-151  8.031813-151  7.968367-151
  8.224383-151  8.512595-151  8.370802-151  8.603301-151  8.530616-151  8.860068-151  8.747713-151  8.796618-151
  8.980874-151  8.946673-151  9.248519-151  9.062099-151  9.249350-151  9.368771-151  9.265967-151  9.416140-151
  9.395670-151  9.582401-151  9.514660-151  9.558228-151  9.561838-151  9.689420-151  9.697128-151  9.584472-151
  9.665418-151  9.728372-151  9.775017-151  9.688725-151  9.790950-151  9.716143-151  9.719779-151  9.691097-151
  9.698000-151  9.729614-151  9.828934-151  9.626283-151  9.698095-151  9.666287-151  9.631085-151  9.673973-151
  9.403687-151  9.714620-151  9.491331-151  9.461457-151  9.452241-151  9.473147-151  9.348886-151  9.240639-151
  9.296297-151  9.232967-151  9.224897-151  9.121031-151  9.167210-151  9.099996-151  8.945852-151  8.868639-151
  8.928245-151  8.851967-151  8.738841-151  8.686566-151  8.599173-151  8.646762-151  8.462665-151  8.441226-151
