#--it-----t--------dt-------EEK-------EEM-------EEGW------hrms------urms------orms------brms------umax------bmax-----divu2m----gg2m------oum------ourms-----oxurms----o2u2m---
  270   1.0261  9.46E-05 1.141E-05 1.061E-03 8.631E-12 4.203E-08 4.777E-03 4.354E+00 4.607E-02 2.026E-02 1.286E-01 8.466E-01 5.18E-11  2.56E-04  1.56E-02  1.80E-02  5.67E-04
  275   1.0266  9.45E-05 1.219E-05 1.084E-03 8.983E-12 4.304E-08 4.939E-03 4.503E+00 4.657E-02 2.110E-02 1.308E-01 8.770E-01 5.39E-11  2.58E-04  1.67E-02  1.92E-02  6.48E-04
  280   1.0271  9.44E-05 1.302E-05 1.103E-03 9.356E-12 4.404E-08 5.103E-03 4.654E+00 4.697E-02 2.196E-02 1.281E-01 9.161E-01 5.61E-11  2.56E-04  1.78E-02  2.05E-02  7.39E-04
  285   1.0276  9.43E-05 1.389E-05 1.116E-03 9.729E-12 4.505E-08 5.270E-03 4.807E+00 4.724E-02 2.289E-02 1.295E-01 9.575E-01 5.84E-11  2.55E-04  1.90E-02  2.19E-02  8.40E-04
  290   1.0280  9.42E-05 1.478E-05 1.125E-03 1.011E-11 4.606E-08 5.438E-03 4.961E+00 4.744E-02 2.378E-02 1.298E-01 9.947E-01 6.06E-11  2.52E-04  2.02E-02  2.33E-02  9.51E-04
  295   1.0285  9.42E-05 1.572E-05 1.142E-03 1.050E-11 4.706E-08 5.607E-03 5.117E+00 4.778E-02 2.472E-02 1.305E-01 1.028E+00 6.30E-11  2.52E-04  2.15E-02  2.47E-02  1.07E-03
  300   1.0290  9.41E-05 1.669E-05 1.159E-03 1.088E-11 4.807E-08 5.777E-03 5.274E+00 4.816E-02 2.564E-02 1.314E-01 1.055E+00 6.53E-11  2.54E-04  2.29E-02  2.62E-02  1.21E-03
  305   1.0295  9.41E-05 1.770E-05 1.178E-03 1.121E-11 4.908E-08 5.950E-03 5.433E+00 4.854E-02 2.651E-02 1.314E-01 1.080E+00 6.73E-11  2.52E-04  2.43E-02  2.78E-02  1.36E-03
  310   1.0299  9.40E-05 1.875E-05 1.193E-03 1.153E-11 5.010E-08 6.123E-03 5.592E+00 4.884E-02 2.742E-02 1.336E-01 1.104E+00 6.92E-11  2.48E-04  2.57E-02  2.95E-02  1.53E-03
  315   1.0304  9.39E-05 1.983E-05 1.206E-03 1.185E-11 5.113E-08 6.298E-03 5.753E+00 4.911E-02 2.836E-02 1.368E-01 1.133E+00 7.11E-11  2.39E-04  2.72E-02  3.12E-02  1.71E-03
  320   1.0309  9.37E-05 2.097E-05 1.231E-03 1.220E-11 5.218E-08 6.476E-03 5.915E+00 4.963E-02 2.927E-02 1.407E-01 1.169E+00 7.32E-11  2.28E-04  2.87E-02  3.29E-02  1.91E-03
  325   1.0313  9.35E-05 2.215E-05 1.256E-03 1.261E-11 5.323E-08 6.656E-03 6.079E+00 5.012E-02 3.026E-02 1.492E-01 1.214E+00 7.56E-11  2.16E-04  3.03E-02  3.48E-02  2.13E-03
  330   1.0318  9.34E-05 2.337E-05 1.277E-03 1.308E-11 5.431E-08 6.837E-03 6.244E+00 5.053E-02 3.120E-02 1.479E-01 1.260E+00 7.85E-11  2.00E-04  3.20E-02  3.67E-02  2.37E-03
  335   1.0323  9.32E-05 2.464E-05 1.288E-03 1.362E-11 5.540E-08 7.020E-03 6.410E+00 5.075E-02 3.211E-02 1.455E-01 1.310E+00 8.17E-11  1.81E-04  3.37E-02  3.87E-02  2.63E-03
  340   1.0327  9.31E-05 2.594E-05 1.303E-03 1.419E-11 5.653E-08 7.204E-03 6.578E+00 5.105E-02 3.306E-02 1.412E-01 1.355E+00 8.51E-11  1.60E-04  3.54E-02  4.07E-02  2.91E-03
  345   1.0332  9.30E-05 2.730E-05 1.329E-03 1.473E-11 5.768E-08 7.389E-03 6.748E+00 5.156E-02 3.391E-02 1.443E-01 1.393E+00 8.84E-11  1.39E-04  3.72E-02  4.28E-02  3.22E-03
  350   1.0337  9.29E-05 2.870E-05 1.352E-03 1.524E-11 5.887E-08 7.577E-03 6.920E+00 5.201E-02 3.468E-02 1.441E-01 1.423E+00 9.15E-11  1.19E-04  3.90E-02  4.50E-02  3.55E-03
  355   1.0341  9.29E-05 3.015E-05 1.367E-03 1.568E-11 6.011E-08 7.766E-03 7.093E+00 5.229E-02 3.528E-02 1.455E-01 1.446E+00 9.41E-11  9.98E-05  4.09E-02  4.73E-02  3.91E-03
  360   1.0346  9.29E-05 3.166E-05 1.388E-03 1.608E-11 6.138E-08 7.958E-03 7.269E+00 5.269E-02 3.565E-02 1.447E-01 1.469E+00 9.65E-11  7.79E-05  4.29E-02  4.96E-02  4.30E-03
  365   1.0351  9.29E-05 3.321E-05 1.401E-03 1.654E-11 6.269E-08 8.151E-03 7.446E+00 5.294E-02 3.609E-02 1.452E-01 1.501E+00 9.93E-11  5.62E-05  4.50E-02  5.20E-02  4.73E-03
  370   1.0355  9.27E-05 3.482E-05 1.414E-03 1.700E-11 6.403E-08 8.345E-03 7.624E+00 5.318E-02 3.646E-02 1.508E-01 1.543E+00 1.02E-10  3.39E-05  4.71E-02  5.45E-02  5.18E-03
  375   1.0360  9.25E-05 3.647E-05 1.430E-03 1.735E-11 6.541E-08 8.541E-03 7.803E+00 5.348E-02 3.692E-02 1.532E-01 1.587E+00 1.04E-10  7.61E-06  4.92E-02  5.70E-02  5.67E-03
  380   1.0364  9.24E-05 3.818E-05 1.450E-03 1.766E-11 6.680E-08 8.739E-03 7.983E+00 5.385E-02 3.756E-02 1.523E-01 1.636E+00 1.06E-10 -1.98E-05  5.15E-02  5.96E-02  6.20E-03
