 -0.885000000000000     
  3.869377-115  3.697421-115  3.508526-115  3.322674-115  3.156702-115  3.008344-115  2.831313-115  2.695494-115
  2.551394-115  2.425314-115  2.276789-115  2.146764-115  2.040047-115  1.919789-115  1.813817-115  1.696020-115
  1.600259-115  1.521301-115  1.417130-115  1.342144-115  1.252338-115  1.187099-115  1.102995-115  1.038736-115
  9.700046-116  9.171895-116  8.521648-116  7.935112-116  7.437257-116  7.000777-116  6.492458-116  6.048525-116
  5.697987-116  5.284010-116  4.942696-116  4.537658-116  4.259464-116  3.940327-116  3.664627-116  3.414863-116
  3.161498-116  2.940119-116  2.716041-116  2.514149-116  2.338286-116  2.162154-116  1.996318-116  1.839078-116
  1.707401-116  1.571020-116  1.449240-116  1.342071-116  1.237634-116  1.140589-116  1.051505-116  9.683979-117
 -0.815000000000000     
  5.670790-110  1.110029-113  5.196022-113  8.216565-113  1.709564-112  2.670078-112  3.331714-112  4.309896-112
  5.541463-112  8.168773-112  8.652847-112  9.804897-112  1.216157-111  1.399159-111  1.552699-111  1.541667-111
  1.975180-111  2.049080-111  2.243844-111  2.257455-111  2.519466-111  2.774087-111  2.768380-111  2.960069-111
  3.086765-111  3.380526-111  3.403215-111  3.486432-111  3.644529-111  3.668995-111  3.745815-111  3.872956-111
  3.848378-111  4.033340-111  4.059150-111  3.961078-111  4.106313-111  4.067585-111  4.104483-111  3.970281-111
  4.083935-111  4.048031-111  3.909028-111  3.941945-111  3.789219-111  3.867725-111  3.671150-111  3.610285-111
  3.624935-111  3.564463-111  3.481397-111  3.317864-111  3.292260-111  3.203631-111  3.051917-111  2.981918-111
  2.910531-111  2.873643-111  2.714874-111  2.628024-111  2.594422-111  2.473343-111  2.410214-111  2.259300-111
  2.231280-111  2.198412-111  2.062681-111  2.025695-111  1.912765-111  1.902053-111  1.796749-111  1.725972-111
  1.715835-111  1.628517-111  1.599966-111  1.531382-111  1.505083-111  1.472180-111  1.410904-111  1.397575-111
  1.354566-111  1.340987-111  1.309234-111  1.279851-111  1.250438-111  1.248845-111  1.226686-111  1.200851-111
  1.195182-111  1.185636-111  1.182068-111  1.157935-111  1.151466-111  1.147611-111  1.138912-111  1.129883-111
  1.135280-111  1.134539-111  1.143392-111  1.124649-111  1.124261-111  1.118768-111  1.133645-111  1.123589-111
  1.096356-111  1.130351-111  1.104121-111  1.104029-111  1.104601-111  1.113153-111  1.099348-111  1.084446-111
  1.092475-111  1.081502-111  1.082286-111  1.056269-111  1.065134-111  1.066407-111  1.038813-111  1.029976-111
  1.035245-111  1.021445-111  1.000191-111  9.960529-112  9.832522-112  9.783538-112  9.531045-112  9.439097-112
  9.353051-112  9.266657-112  9.054060-112  8.851442-112  8.882758-112  8.577570-112  8.469068-112  8.240338-112
  8.133697-112  8.065878-112  7.780236-112  7.618584-112  7.492669-112  7.323581-112  7.181093-112  6.874168-112
  6.774706-112  6.615351-112  6.436876-112  6.244289-112  6.100914-112  5.927902-112  5.741521-112  5.525804-112
