 -0.885000000000000     
  0.000000E+00  8.340322-101 -7.020142-101 -3.556446-101 -4.780314-100  3.991812-100  1.854698-100  7.405457-100
  1.923244E-77  2.107965E-77  2.363069E-77  2.589285E-77  2.856573E-77  2.493237E-77  2.916764E-77  3.235424E-77
  3.865948E-77  4.174754E-77  3.548421E-77  4.727172E-77  4.865718E-77  4.357498E-77  4.856297E-77  5.204471E-77
  4.449387E-77  6.559496E-77  5.640799E-77  5.787357E-77  5.479956E-77  5.738531E-77  6.344538E-77  5.835957E-77
  6.495674E-77  7.134303E-77  7.187036E-77  7.909966E-77  7.547929E-77  8.256166E-77  8.767453E-77  8.005455E-77
  7.846946E-77  8.679402E-77  8.223435E-77  8.179472E-77  9.732191E-77  8.675071E-77  9.056674E-77  9.878448E-77
  1.108154E-76  1.021939E-76  1.155056E-76  1.152776E-76  1.173801E-76  1.274197E-76  1.106995E-76  1.239913E-76
  1.437602E-76  1.354726E-76  1.468555E-76  1.571618E-76  1.516410E-76  1.659505E-76  1.515122E-76  1.849022E-76
  1.927594E-76  2.060648E-76  2.283274E-76  2.087949E-76  2.347784E-76  2.296486E-76  2.569806E-76  2.395716E-76
  2.591490E-76  2.747656E-76  3.097487E-76  2.880397E-76  3.176382E-76  3.458872E-76  3.226421E-76  3.702803E-76
  3.829239E-76  4.035420E-76  4.139635E-76  4.545365E-76  4.438631E-76  4.750377E-76  4.778801E-76  5.218751E-76
  5.281258E-76  5.663232E-76  5.727065E-76  5.789143E-76  5.939303E-76  6.421076E-76  6.642140E-76  6.593624E-76
  7.081837E-76  7.276208E-76  7.342941E-76  7.675885E-76  7.817338E-76  8.269383E-76  8.352319E-76  8.645605E-76
  8.872160E-76  9.058830E-76  9.360498E-76  9.327217E-76  9.860149E-76  1.013581E-75  1.011563E-75  1.036045E-75
 -0.785000000000000     
  0.000000E+00  5.835318E-78 -6.727186E-79 -6.061242E-78 -6.159646E-78  1.643005E-77  3.586595E-77  2.839805E-77
  4.218298E-77  1.454035E-76  1.692727E-76  1.339014E-76  1.603090E-76  2.043106E-76  3.500124E-76  3.673844E-76
  4.203505E-76  5.813533E-76  5.869965E-76  8.238639E-76  8.366072E-76  9.400964E-76  9.359370E-76  1.188603E-75
