,a,t,eta,ap/a,app/a
4179,1.5657393701560365e-11,0.006506973126349847,854265292.3216532,1.214958063472506e-09,4.800458819338409e-26
4180,1.5736918366421618e-11,0.006572592440860335,858445624.5785514,1.208824031750772e-09,4.7762002557563497e-26
4181,1.581684694092721e-11,0.006638879721566664,862647170.6994644,1.2027209978195026e-09,4.7520642705981765e-26
4182,1.5897181476553888e-11,0.006705841759835955,866870036.5077068,1.196648805035953e-09,4.728050262440356e-26
4183,1.597792403519795e-11,0.0067734853897746024,871114329.9583858,1.1906072011197135e-09,4.704157622710904e-26
4184,1.6059076689228103e-11,0.006841817604987774,875380161.4780532,1.1845959220957165e-09,4.6803856912430666e-26
4185,1.6140641521538905e-11,0.006910845404254056,879667641.8592488,1.1786150205300883e-09,4.656733902556085e-26
4186,1.6222620625603848e-11,0.006980575839709372,883976876.3325173,1.1726643429147831e-09,4.6332016388890597e-26
4187,1.6305016105529333e-11,0.007051016103541931,888307978.080782,1.1667437365174893e-09,4.6097882830462447e-26
4188,1.6387830076108564e-11,0.0071221733679622005,892661053.896785,1.160853049377719e-09,4.5864932633875033e-26
4189,1.647106466287608e-11,0.0071940549861370315,897036223.1689284,1.154991887295578e-09,4.563315945731661e-26
4190,1.6554722002161907e-11,0.007266668350923742,901433595.9201303,1.149160301035375e-09,4.5402557507457517e-26
4191,1.663880424114667e-11,0.00734002081026969,905853275.6415906,1.1433581841644667e-09,4.517312096185765e-26
4192,1.6723313537916623e-11,0.007414119999951041,910295388.9390023,1.1375853877635565e-09,4.4944843803132764e-26
4193,1.6808252061518977e-11,0.007488973586831614,914760056.4524584,1.1318417636659016e-09,4.4717720162617563e-26
4194,1.6893621992017852e-11,0.0075645889247426094,919247365.9351385,1.1261270613575705e-09,4.449174433392467e-26
4195,1.6979425520549807e-11,0.007640974088571822,923757451.944212,1.1204410701852952e-09,4.426691044292479e-26
4196,1.706566484938036e-11,0.007718136852618546,928290428.601822,1.114783812642084e-09,4.404321276971071e-26
4197,1.7152342191960375e-11,0.007796085059244184,932846405.2682991,1.1091551435266568e-09,4.382064551491969e-26
4198,1.7239459772983145e-11,0.007874826760052127,937425502.340071,1.1035549183714821e-09,4.359920288279735e-26
4199,1.7327019828441092e-11,0.007954370021156645,942027837.359298,1.0979829934390942e-09,4.3378879283022495e-26
4200,1.7415024605683406e-11,0.00803472298765407,946653527.9173728,1.0924389921599572e-09,4.3159669217720095e-26
4201,1.750347636347368e-11,0.00811589393991801,951302695.5806903,1.0869229843674928e-09,4.294156689819928e-26
4202,1.759237737204781e-11,0.008197891174619587,955975455.4412022,1.0814348512021976e-09,4.2724566523501397e-26
4203,1.7681729913172542e-11,0.008280723116888761,960671930.13943,1.0759744518035864e-09,4.2508663020516035e-26
4204,1.7771536280203605e-11,0.00836439828026888,965392239.0551823,1.0705416460230145e-09,4.2293850470458655e-26
4205,1.7861798778144875e-11,0.008448925206318122,970136500.5035285,1.065136186857527e-09,4.208012328887227e-26
