 -0.885000000000000     
  0.000000E+00 -8.516877-101 -4.327017-101  2.746542-100  7.563043-100  5.615203-100  1.585824E-99  1.706970E-99
  1.251559E-86  1.376577E-86  1.528463E-86  1.586138E-86  1.764816E-86  1.876336E-86  2.047652E-86  2.164547E-86
  2.394304E-86  2.517616E-86  2.653013E-86  2.778893E-86  2.978653E-86  3.307355E-86  3.366135E-86  3.701184E-86
  3.926406E-86  4.174303E-86  4.355921E-86  4.567813E-86  4.812401E-86  5.145320E-86  5.338246E-86  5.576463E-86
  5.888071E-86  6.218440E-86  6.373434E-86  6.758979E-86  7.121770E-86  7.404126E-86  7.795240E-86  7.882808E-86
  8.259460E-86  8.941936E-86  9.012652E-86  9.451559E-86  9.720971E-86  1.032730E-85  1.050262E-85  1.076363E-85
  1.133430E-85  1.154147E-85  1.225438E-85  1.241559E-85  1.292579E-85  1.345291E-85  1.359438E-85  1.417810E-85
  1.458281E-85  1.524207E-85  1.549503E-85  1.599276E-85  1.628458E-85  1.693071E-85  1.751013E-85  1.761441E-85
  1.840201E-85  1.893271E-85  1.931857E-85  1.967172E-85  2.036214E-85  2.078186E-85  2.121328E-85  2.163505E-85
  2.220918E-85  2.288035E-85  2.355924E-85  2.370633E-85  2.430135E-85  2.515964E-85  2.548540E-85  2.604308E-85
  2.594350E-85  2.744432E-85  2.739841E-85  2.816438E-85  2.881659E-85  2.940196E-85  2.972106E-85  2.998952E-85
  3.089627E-85  3.137606E-85  3.204159E-85  3.222791E-85  3.349415E-85  3.406470E-85  3.392039E-85  3.465986E-85
  3.548940E-85  3.610886E-85  3.645120E-85  3.712597E-85  3.756966E-85  3.852042E-85  3.867172E-85  3.922754E-85
  3.973730E-85  4.063134E-85  4.134318E-85  4.129038E-85  4.244446E-85  4.244591E-85  4.332459E-85  4.347859E-85
  4.448729E-85  4.527501E-85  4.530507E-85  4.561605E-85  4.634443E-85  4.729809E-85  4.821077E-85  4.748964E-85
  4.863036E-85  4.944650E-85  4.970059E-85  5.004418E-85  5.061083E-85  5.131430E-85  5.146478E-85  5.184271E-85
  5.254128E-85  5.323716E-85  5.368383E-85  5.355295E-85  5.460696E-85  5.489618E-85  5.513622E-85  5.541870E-85
  5.619213E-85  5.705434E-85  5.650051E-85  5.745664E-85  5.723682E-85  5.836540E-85  5.764994E-85  5.866649E-85
  5.872529E-85  5.900871E-85  5.986067E-85  5.945910E-85  5.973470E-85  6.003705E-85  6.062462E-85  6.036117E-85
  6.083731E-85  6.100644E-85  6.138335E-85  6.110398E-85  6.133630E-85  6.175735E-85  6.144657E-85  6.196102E-85
  6.181545E-85  6.229131E-85  6.207913E-85  6.181671E-85  6.232188E-85  6.181357E-85  6.131749E-85  6.172267E-85
  6.158392E-85  6.148741E-85  6.157592E-85  6.125455E-85  6.140321E-85  6.114294E-85  6.104767E-85  6.045062E-85
  6.032644E-85  6.022149E-85  5.989729E-85  5.953118E-85  5.921602E-85  5.924468E-85  5.811001E-85  5.817843E-85
  5.797351E-85  5.764750E-85  5.719279E-85  5.637110E-85  5.591714E-85  5.557003E-85  5.515287E-85  5.420881E-85
  5.397421E-85  5.330402E-85  5.254982E-85  5.205160E-85  5.128952E-85  5.115107E-85  4.996202E-85  4.944055E-85
  4.868211E-85  4.836503E-85  4.746001E-85  4.639891E-85  4.593276E-85  4.511761E-85  4.433280E-85  4.323682E-85
  4.284541E-85  4.190520E-85  4.114897E-85  3.989460E-85  3.930942E-85  3.823905E-85  3.735397E-85  3.667389E-85
  3.561318E-85  3.478089E-85  3.393054E-85  3.284414E-85  3.205640E-85  3.116640E-85  3.018844E-85  2.919902E-85
  2.833223E-85  2.724237E-85  2.632221E-85  2.537750E-85  2.454826E-85  2.361075E-85  2.260635E-85  2.152200E-85
 -0.835000000000000     
  0.000000E+00 -1.807772E-87 -2.232620E-87  4.265567E-87  1.315180E-86  8.459688E-87  2.763897E-86  2.857167E-86
  2.542754E-86  3.735897E-86  5.105260E-86  1.023375E-85  1.007011E-85  1.622471E-85  2.092791E-85  2.137128E-85
  3.294174E-85  3.838823E-85  4.539912E-85  5.322491E-85  5.991608E-85  6.908464E-85  8.227153E-85  9.400086E-85
  9.694171E-85  1.121787E-84  1.332340E-84  1.426453E-84  1.645038E-84  1.746670E-84  1.956801E-84  2.076389E-84
  2.310318E-84  2.538136E-84  2.814012E-84  2.926050E-84  3.256249E-84  3.461876E-84  3.781006E-84  3.987965E-84
  4.398256E-84  4.632480E-84  4.877768E-84  5.116657E-84  5.481389E-84  6.083361E-84  6.182349E-84  6.799966E-84
  7.210606E-84  7.659991E-84  7.988352E-84  8.378542E-84  8.820972E-84  9.422317E-84  9.771421E-84  1.019479E-83
  1.076655E-83  1.135567E-83  1.164072E-83  1.234340E-83  1.299293E-83  1.349856E-83  1.419907E-83  1.435720E-83
  1.502850E-83  1.625526E-83  1.638519E-83  1.714635E-83  1.763224E-83  1.872697E-83  1.903219E-83  1.948718E-83
  2.048999E-83  2.086829E-83  2.215087E-83  2.242518E-83  2.331276E-83  2.425188E-83  2.445875E-83  2.551992E-83
  2.623607E-83  2.739299E-83  2.781535E-83  2.868850E-83  2.920920E-83  3.033414E-83  3.136130E-83  3.150659E-83
  3.286462E-83  3.381423E-83  3.446780E-83  3.506380E-83  3.627425E-83  3.700374E-83  3.773237E-83  3.844224E-83
  3.944286E-83  4.059646E-83  4.175914E-83  4.200539E-83  4.304117E-83  4.450740E-83  4.504607E-83  4.599936E-83
  4.578627E-83  4.841429E-83  4.827151E-83  4.957523E-83  5.068775E-83  5.167947E-83  5.220681E-83  5.263891E-83
