 -0.885000000000000     
  1.619593E-87  1.595421E-87  1.568615E-87  1.531677E-87  1.507704E-87  1.481149E-87  1.449629E-87  1.414985E-87
  1.390177E-87  1.354794E-87  1.324670E-87  1.297175E-87  1.273391E-87  1.244628E-87  1.211078E-87  1.174059E-87
 -0.845000000000000     
  0.000000E+00  3.866070E-89  9.589961E-89  1.946262E-88  4.422539E-88  6.575208E-88  8.442333E-88  1.054261E-87
  1.432622E-87  1.748057E-87  1.068402E-87  2.629561E-87  3.278641E-87  4.085506E-87  4.776573E-87  4.909683E-87
  6.470339E-87  7.079276E-87  7.692155E-87  8.330485E-87  9.419416E-87  1.079280E-86  1.126309E-86  1.265233E-86
  1.313903E-86  1.495618E-86  1.657570E-86  1.720385E-86  1.896420E-86  2.012924E-86  2.135103E-86  2.301808E-86
  2.414310E-86  2.608093E-86  2.819280E-86  2.884771E-86  3.146759E-86  3.281961E-86  3.490489E-86  3.594630E-86
  3.907908E-86  4.067675E-86  4.204542E-86  4.409072E-86  4.574913E-86  4.993972E-86  5.016201E-86  5.385371E-86
  5.652740E-86  5.931583E-86  6.126551E-86  6.333629E-86  6.605089E-86  6.933776E-86  7.152638E-86  7.399741E-86
  7.712839E-86  8.094498E-86  8.186316E-86  8.603910E-86  8.997247E-86  9.237758E-86  9.658379E-86  9.706068E-86
  1.013081E-85  1.083076E-85  1.081785E-85  1.130376E-85  1.148665E-85  1.217535E-85  1.228308E-85  1.254772E-85
  1.311531E-85  1.328506E-85  1.403749E-85  1.412882E-85  1.465231E-85  1.515900E-85  1.525902E-85  1.583893E-85
  1.621152E-85  1.687688E-85  1.709238E-85  1.756478E-85  1.784715E-85  1.848311E-85  1.902369E-85  1.909780E-85
  1.986155E-85  2.037758E-85  2.074702E-85  2.105604E-85  2.172700E-85  2.212322E-85  2.253053E-85  2.292479E-85
  2.348755E-85  2.414203E-85  2.479466E-85  2.489147E-85  2.547607E-85  2.630030E-85  2.660890E-85  2.714883E-85
  2.699886E-85  2.850730E-85  2.842401E-85  2.916610E-85  2.978449E-85  3.036603E-85  3.065343E-85  3.088522E-85
  3.177811E-85  3.224237E-85  3.288164E-85  3.303838E-85  3.429340E-85  3.484137E-85  3.466500E-85  3.538764E-85
  3.620131E-85  3.679972E-85  3.711907E-85  3.777436E-85  3.819861E-85  3.913806E-85  3.926172E-85  3.979929E-85
  4.029048E-85  4.117677E-85  4.186642E-85  4.179318E-85  4.293801E-85  4.291687E-85  4.378175E-85  4.391530E-85
  4.491365E-85  4.569085E-85  4.570213E-85  4.599885E-85  4.671680E-85  4.765566E-85  4.855791E-85  4.782013E-85
