 -0.885000000000000     
  0.000000E+00  1.433565-101  3.376341-101  6.244888-101  1.475565-100  2.241929-100  2.934114-100  3.654713-100
  1.504027E-84  1.544564E-84  1.584778E-84  1.590425E-84  1.627092E-84  1.677859E-84  1.696169E-84  1.729332E-84
  1.718470E-84  1.813699E-84  1.806162E-84  1.851679E-84  1.889699E-84  1.925196E-84  1.942190E-84  1.955461E-84
  2.010778E-84  2.038486E-84  2.077607E-84  2.085275E-84  2.163779E-84  2.196482E-84  2.183350E-84  2.227146E-84
  2.277543E-84  2.313666E-84  2.331829E-84  2.371387E-84  2.396226E-84  2.454507E-84  2.459432E-84  2.492336E-84
  2.520829E-84  2.575009E-84  2.616288E-84  2.610862E-84  2.680217E-84  2.678449E-84  2.730912E-84  2.735674E-84
  2.796950E-84  2.844153E-84  2.843895E-84  2.860675E-84  2.903062E-84  2.959992E-84  3.014135E-84  2.966836E-84
  3.035111E-84  3.084474E-84  3.096309E-84  3.116379E-84  3.148238E-84  3.189859E-84  3.196458E-84  3.215752E-84
  3.257940E-84  3.298063E-84  3.324166E-84  3.312570E-84  3.374396E-84  3.391780E-84  3.402998E-84  3.418019E-84
  3.463515E-84  3.514520E-84  3.478227E-84  3.534010E-84  3.518550E-84  3.584210E-84  3.537775E-84  3.598764E-84
  3.601279E-84  3.614812E-84  3.664437E-84  3.637273E-84  3.652060E-84  3.667080E-84  3.700673E-84  3.681575E-84
  3.707720E-84  3.715683E-84  3.734297E-84  3.715902E-84  3.726126E-84  3.748607E-84  3.726980E-84  3.754916E-84
  3.743608E-84  3.768693E-84  3.752023E-84  3.733222E-84  3.759146E-84  3.725625E-84  3.692616E-84  3.712943E-84
  3.700346E-84  3.691282E-84  3.693849E-84  3.669338E-84  3.674436E-84  3.654431E-84  3.644601E-84  3.604445E-84
  3.593357E-84  3.582750E-84  3.558884E-84  3.533182E-84  3.510093E-84  3.507086E-84  3.434764E-84  3.435248E-84
  3.417795E-84  3.394898E-84  3.362967E-84  3.310744E-84  3.279265E-84  3.254475E-84  3.226036E-84  3.165376E-84
  3.148726E-84  3.105815E-84  3.058376E-84  3.024999E-84  2.978098E-84  2.966366E-84  2.895427E-84  2.862010E-84
  2.814747E-84  2.794255E-84  2.740669E-84  2.676392E-84  2.649257E-84  2.600901E-84  2.554962E-84  2.492387E-84
  2.468723E-84  2.415859E-84  2.373246E-84  2.302555E-84  2.271261E-84  2.211587E-84  2.163739E-84  2.127052E-84
  2.070567E-84  2.028601E-84  1.984478E-84  1.926479E-84  1.885942E-84  1.842497E-84  1.793310E-84  1.740827E-84
  1.700430E-84  1.647141E-84  1.601277E-84  1.557894E-84  1.520892E-84  1.477427E-84  1.429242E-84  1.376819E-84
 -0.825000000000000     
  0.000000E+00  3.478826E-86  8.094841E-86  1.700870E-85  3.718693E-85  5.656785E-85  7.204709E-85  8.959194E-85
  1.114929E-84  1.191520E-84  1.884407E-84  2.328125E-84  2.810126E-84  3.512888E-84  4.113771E-84  4.190951E-84
  5.563136E-84  6.084421E-84  6.643846E-84  7.208908E-84  8.108015E-84  9.273566E-84  9.690476E-84  1.090443E-83
  1.129095E-83  1.286192E-83  1.423424E-83  1.481396E-83  1.631085E-83  1.723161E-83  1.834910E-83  1.977035E-83
  2.074572E-83  2.238291E-83  2.414991E-83  2.478679E-83  2.704087E-83  2.821711E-83  3.000780E-83  3.083764E-83
  3.335650E-83  3.480318E-83  3.593882E-83  3.776082E-83  3.915919E-83  4.269090E-83  4.280157E-83  4.596993E-83
  4.825689E-83  5.054581E-83  5.218480E-83  5.397444E-83  5.623404E-83  5.894478E-83  6.077893E-83  6.275055E-83
  6.540816E-83  6.850396E-83  6.929698E-83  7.284106E-83  7.603226E-83  7.802171E-83  8.144103E-83  8.182073E-83
  8.521826E-83  9.099721E-83  9.089455E-83  9.464940E-83  9.616718E-83  1.018679E-82  1.026733E-82  1.046953E-82
  1.091620E-82  1.106060E-82  1.167794E-82  1.174320E-82  1.214302E-82  1.255815E-82  1.259160E-82  1.308427E-82
  1.338032E-82  1.390081E-82  1.404746E-82  1.441886E-82  1.465036E-82  1.513794E-82  1.557564E-82  1.559964E-82
  1.617595E-82  1.659643E-82  1.686727E-82  1.708417E-82  1.761132E-82  1.791833E-82  1.820956E-82  1.849254E-82
  1.892995E-82  1.942050E-82  1.990747E-82  1.997881E-82  2.043169E-82  2.104240E-82  2.125783E-82  2.165311E-82
  2.150430E-82  2.268508E-82  2.256687E-82  2.311062E-82  2.357230E-82  2.400126E-82  2.419714E-82  2.434684E-82
  2.501362E-82  2.534536E-82  2.581654E-82  2.588307E-82  2.685008E-82  2.722925E-82  2.704209E-82  2.756450E-82
  2.818085E-82  2.860785E-82  2.880699E-82  2.927969E-82  2.955413E-82  3.026598E-82  3.029430E-82  3.068672E-82
  3.101737E-82  3.166905E-82  3.214317E-82  3.207040E-82  3.289434E-82  3.286765E-82  3.349068E-82  3.349998E-82
  3.423895E-82  3.480114E-82  3.478926E-82  3.496559E-82  3.545953E-82  3.612917E-82  3.677067E-82  3.617218E-82
